ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle
399389.SZ,国证通信指数,国证通信,深圳证券信息有限公司,20111202,20021231,1000.0,半年
000806.CSI,中证消费服务领先指数,消费服务,中证指数有限公司、上海证券交易所,20120210,20041231,1000.0,半年
000807.CSI,中证申万食品饮料指数,食品饮料,中证指数有限公司,20120217,20041231,1000.0,半年
000811.CSI,中证细分有色金属产业主题指数,细分有色,中证指数有限公司,20120411,20041231,1000.0,半年
000812.CSI,中证细分机械设备产业主题指数,细分机械,中证指数有限公司,20120411,20041231,1000.0,半年
000813.CSI,中证细分化工产业主题指数,细分化工,中证指数有限公司,20120411,20041231,1000.0,半年
000814.SH,中证细分医药产业主题指数,细分医药,中证指数有限公司,20120411,20041231,1000.0,半年
000815.CSI,中证细分食品饮料产业主题指数,细分食品,中证指数有限公司,20120411,20041231,1000.0,半年
000819.SH,中证申万有色金属指数,有色金属,中证指数有限公司,20120509,20041231,1000.0,半年
H00945.CSI,中证内地运输主题全收益指数,内地运收,中证指数有限公司,20091028,20041231,1000.0,半年
399550.SZ,央视财经50指数,央视50,深圳证券信息有限公司、中央广播电视总台,20120606,20100630,2563.07,半年
931250.CSI,中证港股通创新药指数,港股通创新药,中证指数有限公司,20120720,20171229,1000.0,半年
000821.CSI,沪深300红利指数,300红利,中证指数有限公司,20120720,20041231,1000.0,半年
000824.CSI,中证国有企业红利指数,国企红利,中证指数有限公司,20120720,20090630,1000.0,半年
000825.CSI,中证中央企业红利指数,央企红利,中证指数有限公司,20120720,20081231,1000.0,一年
000151.SH,上证国有企业红利指数,上国红利,中证指数有限公司、上海证券交易所,20120720,20090630,1000.0,一年
H00140.CSI,上证5年期国债指数(全价),5年国债(全),中证指数有限公司,20120912,20071231,100.0,三个月
000827.SH,中证环保产业指数,中证环保,中证指数有限公司、上海证券交易所,20120925,20111230,1000.0,半年
399395.SZ,国证有色金属行业指数,国证有色,深圳证券信息有限公司,20121029,20041231,1000.0,半年
399396.SZ,国证食品饮料行业指数,国证食品,深圳证券信息有限公司,20121029,20041231,1000.0,半年
H30007.CSI,中证芯片产业指数,芯片产业,中证指数有限公司、上海证券交易所,20121220,20151231,1000.0,半年
H30015.CSI,中证800汽车与零部件指数,800汽车,中证指数有限公司,20121221,20041231,1000.0,半年
H30022.CSI,中证800银行指数,800银行,中证指数有限公司,20121221,20041231,1000.0,半年
399965.SZ,中证800地产指数,800地产,中证指数有限公司,20121221,20041231,1000.0,半年
